X,Y,OBJECTID,NCESSCH,SURVYEAR,STABR,LEAID,ST_LEAID,LEA_NAME,SCH_NAME,LSTREET1,LSTREET2,LCITY,LSTATE,LZIP,LZIP4,PHONE,CHARTER_TEXT,MAGNET_TEXT,VIRTUAL,GSLO,GSHI,SCHOOL_LEVEL,TITLEI,STITLEI,STATUS,SCHOOL_TYPE_TEXT,SY_STATUS_TEXT,ULOCALE,NMCNTY,TOTFRL,FRELCH,REDLCH,PK,KG,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,UG,AE,TOTMENROL,TOTFENROL,TOTAL,MEMBER,FTE,STUTERATIO,AMALM,AMALF,AM,ASALM,ASALF,AS,BLALM,BLALF,BL,HPALM,HPALF,HP,HIALM,HIALF,HI,TRALM,TRALF,TR,WHALM,WHALF,WH,LATCOD,LONCOD
-122.0068,47.1904,93731,530000000000.0,2020-2021,WA,5300001,WA-17216,Enumclaw School District,Enumclaw Sr High School,226 Semanski St South,,Enumclaw,WA,98022,2099,(360)802-7669,No,No,Not Virtual,9,12,High,2-No,N,1,Regular school,Currently operational ,21-Suburb: Large,King County,359.0,287.0,72.0,,,,,,,,,,,330.0,328.0,317.0,327.0,,,,,,1302.0,1302.0,62.29999924,20.9,10.0,6.0,16.0,3.0,10.0,13.0,3.0,5.0,8.0,4.0,3.0,7.0,121.0,107.0,228.0,32.0,27.0,59.0,502.0,468.0,970.0,47.1904,-122.0068
-122.8921,46.1436,93749,530000000000.0,2020-2021,WA,5300003,WA-08458,Kelso School District,Kelso High School,1904 Allen St,,Kelso,WA,98626,    ,(360)501-1801,No,No,Supplemental Virtual,9,12,High,1-Yes,1-Yes,1,Regular school,Currently operational ,23-Suburb: Small,Cowlitz County,730.0,578.0,152.0,,,,,,,,,,,303.0,337.0,312.0,333.0,,,,,,1285.0,1285.0,70.69999695,18.18,15.0,4.0,19.0,5.0,10.0,15.0,4.0,,4.0,7.0,7.0,14.0,157.0,126.0,283.0,49.0,39.0,88.0,440.0,421.0,861.0,46.1436,-122.8921
-122.53582,45.621788,93758,530001000000.0,2020-2021,WA,5300005,WA-06801,Educational Service District 112,ESD 112 Open Doors Reengagement,2500 NE 65th Avenue,,Vancouver,WA,98661,    ,(360)750-7500,No,No,Not Virtual,9,12,High,2-No,N,1,Alternative Education School,Currently operational ,12-City: Mid-size,Clark County,,,,,,,,,,,,,,0.0,0.0,7.0,149.0,,,,,,156.0,156.0,,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0,1.0,2.0,10.0,10.0,20.0,5.0,2.0,7.0,65.0,55.0,120.0,45.621788,-122.535815
-122.9166,46.9946,93771,530001000000.0,2020-2021,WA,5300011,WA-34801,Capital Region ESD 113,ESD 113 Consortium Reengagement Program,6005 Tyee Dr. SW,,Tumwater,WA,98512,    ,(360)426-1200,No,Yes,Not Virtual,11,12,High,2-No,N,1,Alternative Education School,Currently operational ,13-City: Small,Thurston County,,,,,,,,,,,,,,,2.0,48.0,270.0,,,,,,320.0,320.0,,-1.0,7.0,,7.0,1.0,3.0,4.0,5.0,8.0,13.0,1.0,3.0,4.0,24.0,18.0,42.0,10.0,19.0,29.0,122.0,95.0,217.0,46.9946,-122.9166
-122.4469,47.2522,93775,530001000000.0,2020-2021,WA,5300014,WA-27931,Bates Technical College,Bates Technical High School,1101 South Yakima Avenue,,Tacoma,WA,98405,4895,(253)680-7584,No,No,Not Virtual,9,12,High,2-No,N,1,Regular school,Currently operational ,12-City: Mid-size,Pierce County,,,,,,,,,,,,,,0.0,6.0,79.0,296.0,,,,,,381.0,381.0,,-1.0,5.0,2.0,7.0,4.0,2.0,6.0,27.0,9.0,36.0,2.0,5.0,7.0,44.0,8.0,52.0,15.0,6.0,21.0,205.0,47.0,252.0,47.2522,-122.4469
-123.8176,46.9798,93783,530003000000.0,2020-2021,WA,5300030,WA-14005,Aberdeen School District,J M Weatherwax High School,410 North G Street,,Aberdeen,WA,98520,    ,(360)538-2043,No,No,Not Virtual,9,12,High,1-Yes,1-Yes,1,Regular school,Currently operational ,33-Town: Remote,Grays Harbor County,615.0,574.0,41.0,,,,,,,,,,1.0,254.0,246.0,242.0,233.0,,,,,,976.0,976.0,41.61999893,23.45,17.0,16.0,33.0,9.0,10.0,19.0,8.0,4.0,12.0,,,,154.0,171.0,325.0,30.0,36.0,66.0,258.0,263.0,521.0,46.9798,-123.8176
-123.0568,46.6303,93793,530006000000.0,2020-2021,WA,5300060,WA-21226,Adna School District,Adna Middle/High School,121 Adna School Rd.,,Chehalis,WA,98532,    ,(360)748-8552,No,No,Not Virtual,6,12,High,1-Yes,1-Yes,1,Regular school,Currently operational ,42-Rural: Distant,Lewis County,107.0,74.0,33.0,,,,,,,,51.0,48.0,57.0,60.0,39.0,52.0,65.0,,,,,,372.0,372.0,21.21999931,17.53,1.0,3.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,,,,16.0,16.0,32.0,4.0,3.0,7.0,169.0,152.0,321.0,46.6303,-123.0568
-122.6226,48.5071,93796,530015000000.0,2020-2021,WA,5300150,WA-29103,Anacortes School District,Anacortes High School,1600 20th Street,,Anacortes,WA,98221,2396,(360)293-2166,No,No,Not Virtual,9,12,High,2-No,N,1,Regular school,Currently operational ,31-Town: Fringe,Skagit County,149.0,119.0,30.0,,,,,,,,,,,188.0,213.0,161.0,188.0,,,,,,750.0,750.0,37.72000122,19.88,4.0,4.0,8.0,11.0,12.0,23.0,4.0,5.0,9.0,,,,40.0,40.0,80.0,28.0,24.0,52.0,299.0,278.0,577.0,48.5071,-122.6226
-122.115,48.1662,93803,530024000000.0,2020-2021,WA,5300240,WA-31016,Arlington School District,Arlington High School,18821 Crown Ridge Blvd,,Arlington,WA,98223,4015,(360)618-6300,No,No,Supplemental Virtual,9,12,High,2-No,N,1,Regular school,Currently operational ,22-Suburb: Mid-size,Snohomish County,469.0,368.0,101.0,,,,,,,,,,,384.0,434.0,406.0,364.0,,,,,,1588.0,1588.0,78.23000336,20.3,6.0,10.0,16.0,17.0,13.0,30.0,4.0,11.0,15.0,2.0,1.0,3.0,124.0,112.0,236.0,69.0,62.0,131.0,594.0,563.0,1157.0,48.1662,-122.115
-122.17017,48.153106,93807,530024000000.0,2020-2021,WA,5300240,WA-31016,Arlington School District,Weston High School,4407 172nd Street NE,,Arlington,WA,98223,    ,(360)618-6340,No,No,Supplemental Virtual,9,12,High,1-Yes,1-Yes,1,Alternative Education School,Currently operational ,22-Suburb: Mid-size,Snohomish County,49.0,42.0,7.0,,,,,,,,,,,12.0,21.0,26.0,44.0,,,,,,103.0,103.0,11.51000023,8.95,,1.0,1.0,,,,,1.0,1.0,1.0,,1.0,6.0,3.0,9.0,4.0,4.0,8.0,42.0,41.0,83.0,48.153106,-122.170172
