,LEAID,LEA_NAME,SCH_NAME,STUDENTS_IN_POVERTY,G09,G10,G11,G12,G13,UG,AE,TOTAL_STUDENTS,POVERTY_RATE
0,5300001,Enumclaw School District,Enumclaw Sr High School,359.0,330.0,328.0,317.0,327.0,,,,1302.0,0.27572964669738864
1,5300003,Kelso School District,Kelso High School,730.0,303.0,337.0,312.0,333.0,,,,1285.0,0.5680933852140078
2,5300005,Educational Service District 112,ESD 112 Open Doors Reengagement,,0.0,0.0,7.0,149.0,,,,156.0,
3,5300011,Capital Region ESD 113,ESD 113 Consortium Reengagement Program,,,2.0,48.0,270.0,,,,320.0,
4,5300014,Bates Technical College,Bates Technical High School,,0.0,6.0,79.0,296.0,,,,381.0,
5,5300030,Aberdeen School District,J M Weatherwax High School,615.0,254.0,246.0,242.0,233.0,,,,976.0,0.6301229508196722
6,5300060,Adna School District,Adna Middle/High School,107.0,60.0,39.0,52.0,65.0,,,,372.0,0.28763440860215056
7,5300150,Anacortes School District,Anacortes High School,149.0,188.0,213.0,161.0,188.0,,,,750.0,0.19866666666666666
8,5300240,Arlington School District,Arlington High School,469.0,384.0,434.0,406.0,364.0,,,,1588.0,0.29534005037783373
9,5300240,Arlington School District,Weston High School,49.0,12.0,21.0,26.0,44.0,,,,103.0,0.47572815533980584
10,5300280,Asotin-Anatone School District,Asotin Jr Sr High,93.0,37.0,49.0,52.0,50.0,,,,327.0,0.28440366972477066
11,5300300,Auburn School District,West Auburn Senior High School,119.0,10.0,22.0,57.0,81.0,,,,170.0,0.7
12,5300300,Auburn School District,Auburn Senior High School,1036.0,438.0,437.0,425.0,430.0,,,,1730.0,0.5988439306358382
13,5300300,Auburn School District,Auburn Riverside High School,698.0,468.0,491.0,464.0,394.0,,,,1817.0,0.3841496973032471
14,5300300,Auburn School District,Auburn Mountainview High School,811.0,432.0,421.0,400.0,415.0,,,,1668.0,0.4862110311750599
15,5300313,Lake Washington Institute of Technology,Lake Washington Technical Academy,,,1.0,37.0,247.0,,,,285.0,
16,5300313,Lake Washington Institute of Technology,Open Doors at LWIT,,,,0.0,440.0,,,,440.0,
17,5300330,Bainbridge Island School District,Bainbridge High School,101.0,294.0,315.0,348.0,351.0,,,,1308.0,0.077217125382263
18,5300330,Bainbridge Island School District,Eagle Harbor High School,18.0,24.0,21.0,25.0,34.0,,,,107.0,0.16822429906542055
19,5300333,Summit Public School: Olympus,Summit Public School: Olympus,108.0,61.0,61.0,41.0,31.0,,,,194.0,0.5567010309278351
20,5300334,Summit Public School: Sierra,Summit Public School: Sierra,117.0,86.0,95.0,92.0,92.0,,,,365.0,0.32054794520547947
21,5300339,PRIDE Prep Charter School District,PRIDE Prep School,414.0,112.0,94.0,89.0,78.0,,,,718.0,0.5766016713091922
22,5300343,Summit Public School: Atlas,Summit Public School: Atlas,196.0,88.0,43.0,38.0,33.0,,,,456.0,0.4298245614035088
23,5300380,Battle Ground School District,Battle Ground High School,459.0,429.0,410.0,369.0,378.0,,,,1586.0,0.28940731399747793
24,5300380,Battle Ground School District,Summit View High School,150.0,16.0,50.0,80.0,247.0,,,,393.0,0.3816793893129771
25,5300380,Battle Ground School District,Prairie High School,441.0,402.0,369.0,360.0,374.0,,,,1505.0,0.2930232558139535
26,5300390,Bellevue School District,Bellevue High School,132.0,362.0,371.0,437.0,356.0,,,,1526.0,0.08650065530799476
27,5300390,Bellevue School District,Interlake Senior High School,306.0,389.0,382.0,444.0,439.0,,,,1654.0,0.18500604594921402
28,5300390,Bellevue School District,Newport Senior High School,149.0,437.0,428.0,450.0,451.0,,,,1766.0,0.08437146092865232
29,5300390,Bellevue School District,Sammamish Senior High,390.0,279.0,346.0,320.0,301.0,,,,1246.0,0.3130016051364366
30,5300390,Bellevue School District,International School,43.0,90.0,88.0,68.0,74.0,,,,590.0,0.07288135593220339
31,5300390,Bellevue School District,Bellevue Big Picture School,51.0,66.0,26.0,27.0,30.0,,,,384.0,0.1328125
