,LEA_NAME,G09,G10,G11,G12,G13,UG,AE,TOTAL_STUDENTS,STUDENTS_IN_POVERTY,DISTRICT_POVERTY_RATE,AVG_SCHOOL_POVERTY_RATE
0,Aberdeen School District,254.0,246.0,242.0,233.0,,,,976.0,615.0,0.6301229508196722,0.6301229508196722
1,Adna School District,60.0,39.0,52.0,65.0,,,,372.0,107.0,0.28763440860215056,0.28763440860215056
2,Anacortes School District,188.0,213.0,161.0,188.0,,,,750.0,149.0,0.19866666666666666,0.19866666666666666
3,Arlington School District,396.0,455.0,432.0,408.0,,,,1691.0,518.0,0.306327616794796,0.3855341028588198
4,Asotin-Anatone School District,37.0,49.0,52.0,50.0,,,,327.0,93.0,0.28440366972477066,0.28440366972477066
5,Auburn School District,1348.0,1371.0,1346.0,1320.0,,,,5385.0,2664.0,0.4947075208913649,0.5423011647785363
6,Bainbridge Island School District,318.0,336.0,373.0,385.0,,,,1415.0,119.0,0.08409893992932863,0.12272071222384177
7,Bates Technical College,0.0,6.0,79.0,296.0,,,,381.0,,,
8,Battle Ground School District,847.0,829.0,809.0,999.0,,,,3484.0,1050.0,0.30137772675086105,0.32136998637480285
9,Bellevue School District,1623.0,1641.0,1746.0,1651.0,,,,7166.0,1071.0,0.1494557633268211,0.14576227054241683
10,Bellingham School District,959.0,966.0,887.0,1040.0,,,,3853.0,1152.0,0.298987801712951,0.352332763512882
11,Bethel School District,1430.0,1361.0,1366.0,1540.0,,,,5697.0,2538.0,0.44549763033175355,0.4706547184820444
12,Blaine School District,163.0,176.0,157.0,141.0,,,,637.0,289.0,0.45368916797488223,0.45368916797488223
13,Bremerton School District,312.0,301.0,285.0,297.0,,,,1195.0,710.0,0.5941422594142259,0.5941422594142259
14,Brewster School District,79.0,73.0,63.0,58.0,,,,273.0,228.0,0.8351648351648352,0.8351648351648352
15,Bridgeport School District,55.0,54.0,56.0,52.0,,,,217.0,206.0,0.9493087557603687,0.9493087557603687
16,Burlington-Edison School District,292.0,293.0,292.0,256.0,,,,1133.0,523.0,0.4616063548102383,0.4616063548102383
17,CASHMERE SCHOOL DISTRICT,128.0,112.0,115.0,130.0,,,,486.0,189.0,0.3888888888888889,0.3888888888888889
18,Camas School District,652.0,600.0,605.0,618.0,,,,2475.0,345.0,0.1393939393939394,0.20942405708460754
19,Cape Flattery School District,19.0,21.0,28.0,35.0,,,,191.0,131.0,0.6858638743455497,0.6858638743455497
20,Capital Region ESD 113,,2.0,48.0,270.0,,,,320.0,,,
21,Cascade School District,104.0,93.0,102.0,107.0,,,,406.0,166.0,0.4088669950738916,0.4088669950738916
22,Castle Rock School District,121.0,111.0,96.0,109.0,,,,437.0,218.0,0.4988558352402746,0.4988558352402746
23,Central Kitsap School District,801.0,854.0,700.0,726.0,,,,3446.0,620.0,0.1799187463726059,0.186026971926425
24,Central Valley School District,1096.0,1055.0,1055.0,1013.0,,,,4219.0,1085.0,0.257169945484712,0.28579984476056414
25,Centralia School District,252.0,257.0,215.0,222.0,,,,946.0,694.0,0.733615221987315,0.733615221987315
26,Chehalis School District,237.0,254.0,242.0,339.0,,,,1072.0,395.0,0.36847014925373134,0.3855001983998819
27,Cheney School District,371.0,348.0,332.0,333.0,,,,1384.0,572.0,0.41329479768786126,0.41329479768786126
28,Chewelah School District,45.0,53.0,45.0,42.0,,,,259.0,131.0,0.5057915057915058,0.5057915057915058
29,Chimacum School District,50.0,44.0,57.0,60.0,,,,303.0,145.0,0.47854785478547857,0.47854785478547857
30,Clarkston School District,227.0,205.0,194.0,189.0,,,,815.0,421.0,0.5165644171779141,0.5165644171779141
31,Cle Elum-Roslyn School District,63.0,56.0,62.0,51.0,,,,232.0,78.0,0.33620689655172414,0.33620689655172414
32,Clover Park School District,832.0,753.0,723.0,804.0,,,,3662.0,2222.0,0.6067722555980338,0.5815393481672948
33,Colfax School District,42.0,50.0,44.0,49.0,,,,253.0,68.0,0.26877470355731226,0.26877470355731226
34,College Place School District,125.0,130.0,129.0,123.0,,,,507.0,255.0,0.5029585798816568,0.5029585798816568
35,Columbia (Walla Walla) School District,67.0,46.0,50.0,47.0,,,,210.0,108.0,0.5142857142857142,0.5142857142857142
36,Colville School District,118.0,143.0,135.0,111.0,,,,507.0,214.0,0.42209072978303747,0.42209072978303747
37,Concrete School District,45.0,20.0,29.0,39.0,,,,203.0,152.0,0.7487684729064039,0.7487684729064039
38,Coupeville School District,77.0,94.0,53.0,61.0,,,,285.0,73.0,0.256140350877193,0.256140350877193
39,Cusick School District,20.0,15.0,24.0,15.0,,,,127.0,98.0,0.7716535433070866,0.7716535433070866
40,Darrington School District,26.0,31.0,33.0,29.0,,,,119.0,58.0,0.48739495798319327,0.48739495798319327
41,Davenport School District,43.0,44.0,45.0,40.0,,,,297.0,125.0,0.4208754208754209,0.4208754208754209
42,Dayton School District,33.0,21.0,24.0,33.0,,,,111.0,53.0,0.4774774774774775,0.4774774774774775
43,Deer Park School District,144.0,175.0,159.0,191.0,,,,669.0,318.0,0.47533632286995514,0.47533632286995514
44,East Valley School District (Spokane),199.0,211.0,206.0,205.0,,,,821.0,376.0,0.4579780755176614,0.4579780755176614
45,East Valley School District (Yakima),255.0,228.0,228.0,196.0,,,,907.0,507.0,0.5589856670341786,0.5589856670341786
46,Eastmont School District,1.0,452.0,449.0,484.0,,,,1386.0,752.0,0.5425685425685426,0.5425685425685426
47,Eatonville School District,156.0,149.0,128.0,114.0,,,,547.0,181.0,0.33089579524680074,0.33089579524680074
48,Edmonds School District,1513.0,1512.0,1569.0,1843.0,,,,6452.0,2202.0,0.34128952262864226,0.37202017468288745
49,Educational Service District 112,0.0,0.0,7.0,149.0,,,,156.0,,,
50,Ellensburg School District,231.0,224.0,254.0,223.0,,,,932.0,360.0,0.38626609442060084,0.38626609442060084
51,Elma School District,137.0,137.0,100.0,120.0,,,,494.0,302.0,0.611336032388664,0.611336032388664
52,Entiat School District,22.0,22.0,15.0,23.0,,,,162.0,100.0,0.6172839506172839,0.6172839506172839
53,Enumclaw School District,330.0,328.0,317.0,327.0,,,,1302.0,359.0,0.27572964669738864,0.27572964669738864
54,Ephrata School District,229.0,201.0,186.0,196.0,,,,812.0,397.0,0.48891625615763545,0.48891625615763545
55,Everett School District,1481.0,1436.0,1485.0,1457.0,,,,5859.0,2351.0,0.40126301416624,0.5077885754439933
56,Evergreen School District (Clark),1947.0,1939.0,1926.0,2057.0,,,,7869.0,3608.0,0.4585080696403609,0.493101599847789
57,Federal Way School District,1625.0,1529.0,1598.0,1671.0,,,,6844.0,4114.0,0.6011104617182934,0.6189894825700429
58,Ferndale School District,321.0,343.0,340.0,338.0,,,,1344.0,554.0,0.41220238095238093,0.41220238095238093
59,Fife School District,,272.0,279.0,301.0,,,,852.0,370.0,0.43427230046948356,0.43427230046948356
60,Finley School District,71.0,80.0,64.0,86.0,,,,301.0,222.0,0.7375415282392026,0.7375415282392026
61,Franklin Pierce School District,639.0,550.0,488.0,488.0,,,,2165.0,1359.0,0.6277136258660508,0.6311375356239559
62,Freeman School District,71.0,77.0,71.0,94.0,,,,313.0,57.0,0.18210862619808307,0.18210862619808307
63,Goldendale School District,88.0,69.0,60.0,68.0,,,,285.0,150.0,0.5263157894736842,0.5263157894736842
64,Grand Coulee Dam School District,65.0,48.0,52.0,56.0,,,,340.0,233.0,0.6852941176470588,0.6852941176470588
65,Grandview School District,301.0,253.0,259.0,233.0,,,,1046.0,850.0,0.8126195028680688,0.8126195028680688
66,Granger School District,112.0,126.0,115.0,98.0,,,,451.0,382.0,0.8470066518847007,0.8470066518847007
67,Granite Falls School District,159.0,126.0,171.0,173.0,,,,629.0,261.0,0.4149443561208267,0.5032576712904582
68,Highland School District,97.0,91.0,99.0,73.0,,,,360.0,290.0,0.8055555555555556,0.8055555555555556
