,LEA_NAME,SCH_NAME,GRADE_LEVEL,ENROLLMENT
0,Aberdeen School District,J M Weatherwax High School,09,254.0
1,Aberdeen School District,J M Weatherwax High School,10,246.0
2,Aberdeen School District,J M Weatherwax High School,11,242.0
3,Aberdeen School District,J M Weatherwax High School,12,233.0
4,Aberdeen School District,J M Weatherwax High School,AE,
5,Aberdeen School District,J M Weatherwax High School,UG,
6,Adna School District,Adna Middle/High School,09,60.0
7,Adna School District,Adna Middle/High School,10,39.0
8,Adna School District,Adna Middle/High School,11,52.0
9,Adna School District,Adna Middle/High School,12,65.0
10,Adna School District,Adna Middle/High School,AE,
11,Adna School District,Adna Middle/High School,UG,
12,Anacortes School District,Anacortes High School,09,188.0
13,Anacortes School District,Anacortes High School,10,213.0
14,Anacortes School District,Anacortes High School,11,161.0
15,Anacortes School District,Anacortes High School,12,188.0
16,Anacortes School District,Anacortes High School,AE,
17,Anacortes School District,Anacortes High School,UG,
18,Arlington School District,Arlington High School,09,384.0
19,Arlington School District,Arlington High School,10,434.0
20,Arlington School District,Arlington High School,11,406.0
21,Arlington School District,Arlington High School,12,364.0
22,Arlington School District,Arlington High School,AE,
23,Arlington School District,Arlington High School,UG,
24,Arlington School District,Weston High School,09,12.0
25,Arlington School District,Weston High School,10,21.0
26,Arlington School District,Weston High School,11,26.0
27,Arlington School District,Weston High School,12,44.0
28,Arlington School District,Weston High School,AE,
29,Arlington School District,Weston High School,UG,
30,Asotin-Anatone School District,Asotin Jr Sr High,09,37.0
31,Asotin-Anatone School District,Asotin Jr Sr High,10,49.0
32,Asotin-Anatone School District,Asotin Jr Sr High,11,52.0
33,Asotin-Anatone School District,Asotin Jr Sr High,12,50.0
34,Asotin-Anatone School District,Asotin Jr Sr High,AE,
35,Asotin-Anatone School District,Asotin Jr Sr High,UG,
36,Auburn School District,Auburn Mountainview High School,09,432.0
37,Auburn School District,Auburn Mountainview High School,10,421.0
38,Auburn School District,Auburn Mountainview High School,11,400.0
39,Auburn School District,Auburn Mountainview High School,12,415.0
40,Auburn School District,Auburn Mountainview High School,AE,
41,Auburn School District,Auburn Mountainview High School,UG,
42,Auburn School District,Auburn Riverside High School,09,468.0
43,Auburn School District,Auburn Riverside High School,10,491.0
44,Auburn School District,Auburn Riverside High School,11,464.0
45,Auburn School District,Auburn Riverside High School,12,394.0
46,Auburn School District,Auburn Riverside High School,AE,
47,Auburn School District,Auburn Riverside High School,UG,
48,Auburn School District,Auburn Senior High School,09,438.0
49,Auburn School District,Auburn Senior High School,10,437.0
50,Auburn School District,Auburn Senior High School,11,425.0
51,Auburn School District,Auburn Senior High School,12,430.0
52,Auburn School District,Auburn Senior High School,AE,
53,Auburn School District,Auburn Senior High School,UG,
54,Auburn School District,West Auburn Senior High School,09,10.0
55,Auburn School District,West Auburn Senior High School,10,22.0
56,Auburn School District,West Auburn Senior High School,11,57.0
57,Auburn School District,West Auburn Senior High School,12,81.0
58,Auburn School District,West Auburn Senior High School,AE,
59,Auburn School District,West Auburn Senior High School,UG,
60,Bainbridge Island School District,Bainbridge High School,09,294.0
61,Bainbridge Island School District,Bainbridge High School,10,315.0
62,Bainbridge Island School District,Bainbridge High School,11,348.0
63,Bainbridge Island School District,Bainbridge High School,12,351.0
64,Bainbridge Island School District,Bainbridge High School,AE,
65,Bainbridge Island School District,Bainbridge High School,UG,
66,Bainbridge Island School District,Eagle Harbor High School,09,24.0
67,Bainbridge Island School District,Eagle Harbor High School,10,21.0
