LEAID,LEA_NAME,SCH_NAME,GRADE_LEVEL,ENROLLMENT,DISTRICT_POVERTY_RATE
5300001,Enumclaw School District,Enumclaw Sr High School,09,330.0,0.276
5300001,Enumclaw School District,Enumclaw Sr High School,10,328.0,0.276
5300001,Enumclaw School District,Enumclaw Sr High School,11,317.0,0.276
5300001,Enumclaw School District,Enumclaw Sr High School,12,327.0,0.276
5300001,Enumclaw School District,Enumclaw Sr High School,AE,,0.276
5300001,Enumclaw School District,Enumclaw Sr High School,UG,,0.276
5300003,Kelso School District,Kelso High School,09,303.0,0.568
5300003,Kelso School District,Kelso High School,10,337.0,0.568
5300003,Kelso School District,Kelso High School,11,312.0,0.568
5300003,Kelso School District,Kelso High School,12,333.0,0.568
5300003,Kelso School District,Kelso High School,AE,,0.568
5300003,Kelso School District,Kelso High School,UG,,0.568
5300005,Educational Service District 112,ESD 112 Open Doors Reengagement,09,0.0,0.0
5300005,Educational Service District 112,ESD 112 Open Doors Reengagement,10,0.0,0.0
5300005,Educational Service District 112,ESD 112 Open Doors Reengagement,11,7.0,0.0
5300005,Educational Service District 112,ESD 112 Open Doors Reengagement,12,149.0,0.0
5300005,Educational Service District 112,ESD 112 Open Doors Reengagement,AE,,0.0
5300005,Educational Service District 112,ESD 112 Open Doors Reengagement,UG,,0.0
5300011,Capital Region ESD 113,ESD 113 Consortium Reengagement Program,09,,0.0
5300011,Capital Region ESD 113,ESD 113 Consortium Reengagement Program,10,2.0,0.0
5300011,Capital Region ESD 113,ESD 113 Consortium Reengagement Program,11,48.0,0.0
5300011,Capital Region ESD 113,ESD 113 Consortium Reengagement Program,12,270.0,0.0
5300011,Capital Region ESD 113,ESD 113 Consortium Reengagement Program,AE,,0.0
5300011,Capital Region ESD 113,ESD 113 Consortium Reengagement Program,UG,,0.0
5300014,Bates Technical College,Bates Technical High School,09,0.0,0.0
5300014,Bates Technical College,Bates Technical High School,10,6.0,0.0
5300014,Bates Technical College,Bates Technical High School,11,79.0,0.0
5300014,Bates Technical College,Bates Technical High School,12,296.0,0.0
5300014,Bates Technical College,Bates Technical High School,AE,,0.0
5300014,Bates Technical College,Bates Technical High School,UG,,0.0
5300030,Aberdeen School District,J M Weatherwax High School,09,254.0,0.63
5300030,Aberdeen School District,J M Weatherwax High School,10,246.0,0.63
5300030,Aberdeen School District,J M Weatherwax High School,11,242.0,0.63
5300030,Aberdeen School District,J M Weatherwax High School,12,233.0,0.63
5300030,Aberdeen School District,J M Weatherwax High School,AE,,0.63
5300030,Aberdeen School District,J M Weatherwax High School,UG,,0.63
5300060,Adna School District,Adna Middle/High School,09,60.0,0.288
5300060,Adna School District,Adna Middle/High School,10,39.0,0.288
5300060,Adna School District,Adna Middle/High School,11,52.0,0.288
5300060,Adna School District,Adna Middle/High School,12,65.0,0.288
5300060,Adna School District,Adna Middle/High School,AE,,0.288
5300060,Adna School District,Adna Middle/High School,UG,,0.288
5300150,Anacortes School District,Anacortes High School,09,188.0,0.199
5300150,Anacortes School District,Anacortes High School,10,213.0,0.199
5300150,Anacortes School District,Anacortes High School,11,161.0,0.199
5300150,Anacortes School District,Anacortes High School,12,188.0,0.199
5300150,Anacortes School District,Anacortes High School,AE,,0.199
5300150,Anacortes School District,Anacortes High School,UG,,0.199
5300240,Arlington School District,Arlington High School,09,384.0,0.306
5300240,Arlington School District,Arlington High School,10,434.0,0.306
5300240,Arlington School District,Arlington High School,11,406.0,0.306
5300240,Arlington School District,Arlington High School,12,364.0,0.306
5300240,Arlington School District,Arlington High School,AE,,0.306
5300240,Arlington School District,Arlington High School,UG,,0.306
5300240,Arlington School District,Weston High School,09,12.0,0.306
5300240,Arlington School District,Weston High School,10,21.0,0.306
5300240,Arlington School District,Weston High School,11,26.0,0.306
5300240,Arlington School District,Weston High School,12,44.0,0.306
5300240,Arlington School District,Weston High School,AE,,0.306
5300240,Arlington School District,Weston High School,UG,,0.306
5300280,Asotin-Anatone School District,Asotin Jr Sr High,09,37.0,0.284
5300280,Asotin-Anatone School District,Asotin Jr Sr High,10,49.0,0.284
5300280,Asotin-Anatone School District,Asotin Jr Sr High,11,52.0,0.284
5300280,Asotin-Anatone School District,Asotin Jr Sr High,12,50.0,0.284
5300280,Asotin-Anatone School District,Asotin Jr Sr High,AE,,0.284
5300280,Asotin-Anatone School District,Asotin Jr Sr High,UG,,0.284
5300300,Auburn School District,Auburn Mountainview High School,09,432.0,0.495
